countyFIPS,County Name,State,stateFIPS,6/18/20
1001,Autauga County,AL,1,400
1003,Baldwin County,AL,1,401
1005,Barbour County,AL,1,263
1007,Bibb County,AL,1,121
1009,Blount County,AL,1,130
1011,Bullock County,AL,1,320
1013,Butler County,AL,1,566
1015,Calhoun County,AL,1,210
1017,Chambers County,AL,1,501
1019,Cherokee County,AL,1,55
1021,Chilton County,AL,1,152
1023,Choctaw County,AL,1,183
1025,Clarke County,AL,1,202
1027,Clay County,AL,1,30
1029,Cleburne County,AL,1,22
1031,Coffee County,AL,1,304
1033,Colbert County,AL,1,291
1035,Conecuh County,AL,1,123
1037,Coosa County,AL,1,46
1039,Covington County,AL,1,203
1041,Crenshaw County,AL,1,116
1043,Cullman County,AL,1,299
1045,Dale County,AL,1,193
1047,Dallas County,AL,1,570
1049,DeKalb County,AL,1,366
1051,Elmore County,AL,1,616
1053,Escambia County,AL,1,123
1055,Etowah County,AL,1,363
1057,Fayette County,AL,1,52
1059,Franklin County,AL,1,764
1061,Geneva County,AL,1,49
1063,Greene County,AL,1,144
1065,Hale County,AL,1,253
1067,Henry County,AL,1,110
1069,Houston County,AL,1,343
1071,Jackson County,AL,1,142
1073,Jefferson County,AL,1,2749
1075,Lamar County,AL,1,53
1077,Lauderdale County,AL,1,282
1079,Lawrence County,AL,1,72
1081,Lee County,AL,1,800
1083,Limestone County,AL,1,257
1085,Lowndes County,AL,1,410
1087,Macon County,AL,1,138
1089,Madison County,AL,1,646
1091,Marengo County,AL,1,235
1093,Marion County,AL,1,165
1095,Marshall County,AL,1,1001
1097,Mobile County,AL,1,2856
1099,Monroe County,AL,1,152
1101,Montgomery County,AL,1,3101
1103,Morgan County,AL,1,708
1105,Perry County,AL,1,84
1107,Pickens County,AL,1,150
1109,Pike County,AL,1,347
1111,Randolph County,AL,1,144
1113,Russell County,AL,1,330
1115,St. Clair County,AL,1,190
1117,Shelby County,AL,1,730
1119,Sumter County,AL,1,267
1121,Talladega County,AL,1,175
1123,Tallapoosa County,AL,1,505
1125,Tuscaloosa County,AL,1,1481
1127,Walker County,AL,1,652
1129,Washington County,AL,1,94
1131,Wilcox County,AL,1,240
1133,Winston County,AL,1,166
0,Statewide Unallocated,AK,2,1
2013,Aleutians East Borough,AK,2,0
2016,Aleutians West Census Area,AK,2,0
2020,Municipality of Anchorage,AK,2,332
2050,Bethel Census Area,AK,2,5
2060,Bristol Bay Borough,AK,2,0
2068,Denali Borough,AK,2,0
2070,Dillingham Census Area,AK,2,0
2090,Fairbanks North Star Borough,AK,2,106
2100,Haines Borough,AK,2,1
2105,Hoonah-Angoon Census Area,AK,2,0
2110,City and Borough of Juneau,AK,2,39
2122,Kenai Peninsula Borough,AK,2,116
2130,Ketchikan Gateway Borough,AK,2,21
2150,Kodiak Island Borough,AK,2,3
2158,Kusilvak Census Area,AK,2,0
2164,Lake and Peninsula Borough,AK,2,0
2170,Matanuska-Susitna Borough,AK,2,51
2180,Nome Census Area,AK,2,5
2185,North Slope Borough,AK,2,2
2188,Northwest Arctic Borough,AK,2,4
2195,Petersburg Census Area,AK,2,4
2198,Prince of Wales-Hyder Census Area,AK,2,2
2220,Sitka City and Borough,AK,2,9
2230,Skagway Municipality,AK,2,0
2240,Southeast Fairbanks Census Area,AK,2,3
2261,Valdez-Cordova Census Area,AK,2,0
2270,Wade Hampton Census Area,AK,2,0
2275,Wrangell City and Borough,AK,2,3
2282,Yakutat City and Borough,AK,2,0
2290,Yukon-Koyukuk Census Area,AK,2,1
0,Statewide Unallocated,AZ,4,0
4001,Apache County,AZ,4,2059
4003,Cochise County,AZ,4,267
4005,Coconino County,AZ,4,1439
4007,Gila County,AZ,4,115
4009,Graham County,AZ,4,58
4011,Greenlee County,AZ,4,13
4012,La Paz County,AZ,4,245
4013,Maricopa County,AZ,4,23880
4015,Mohave County,AZ,4,676
4017,Navajo County,AZ,4,2874
4019,Pima County,AZ,4,4682
4021,Pinal County,AZ,4,1888
4023,Santa Cruz County,AZ,4,1210
4025,Yavapai County,AZ,4,402
4027,Yuma County,AZ,4,3635
0,Statewide Unallocated,AR,5,435
5001,Arkansas County,AR,5,16
5003,Ashley County,AR,5,51
5005,Baxter County,AR,5,14
5007,Benton County,AR,5,1657
5009,Boone County,AR,5,10
5011,Bradley County,AR,5,35
5013,Calhoun County,AR,5,0
5015,Carroll County,AR,5,100
5017,Chicot County,AR,5,66
5019,Clark County,AR,5,50
5021,Clay County,AR,5,24
5023,Cleburne County,AR,5,76
5025,Cleveland County,AR,5,20
5027,Columbia County,AR,5,29
5029,Conway County,AR,5,25
5031,Craighead County,AR,5,372
5033,Crawford County,AR,5,75
5035,Crittenden County,AR,5,562
5037,Cross County,AR,5,81
5039,Dallas County,AR,5,4
5041,Desha County,AR,5,25
5043,Drew County,AR,5,29
5045,Faulkner County,AR,5,205
5047,Franklin County,AR,5,9
5049,Fulton County,AR,5,9
5051,Garland County,AR,5,170
